safebar,name,website,street_address,city,state,zip,phone,email,certification_date,contact_name,image,latitude,longitude,description,joined_date
False,Nudie's Honky Tonk,https://www.nudieshonkytonk.com/,409 Broadway,Nashville,TN,37203,(615) 942-6307,,,,,36.160714,-86.777275,,
False,Redneck Riviera Bar & BBQ,http://www.redneckrivieranashville.com/,208 Broadway,Nashville,TN,37201,,,,,,36.161815,-86.775952,,
False,Kid Rock's Big Ass Honky Tonk Rock N' Roll Steakhouse,http://www.kidrockshonkytonkandsteakhouse.com/,221 Broadway,Nashville,TN,37203,,,,,,36.16132,-86.77567,,
False,Tootsies Orchid Lounge,https://tootsies.net/,422 Broadway,Nashville,TN,37203,,,,,,36.16094441,-86.77834236,,
False,The Stage on Broadway,http://www.thestageonbroadway.com/,412 Broadway,Nashville,TN,37203,(615) 726-0504,,,,,36.1609069,-86.7778279,,
False,Ole Red,http://www.olered.com/nashville,300 Broadway,Nashville,TN,37201,,,,,,36.1617468,-86.776298,,
False,AJ's Good Time Bar,https://www.ajsgoodtimebar.com/,421 Broadway,Nashville,TN,37203,(815) 738-2868,,,,,36.16070132,-86.77786427,,
False,Rippy's Honky Tonk,http://www.rippyshonkytonk.com/,429 Broadway,Nashville,TN,37203,,,,,,36.160365,-86.778173,,
False,Layla's Honky Tonk,http://www.laylasnashville.com/,418 Broadway,Nashville,TN,37203,,,,,,,,,
False,Robert's Western World,https://robertswesternworld.com/,416 Broadway,Nashville,TN,37203,,,,,,,,,
False,The Valentine,http://www.thevalentinenashville.com/,312 Broadway,Nashville,TN,37201,,,,,,36.16148,-86.77677,,
False,Bootleggers Inn,http://www.bootleggersnashville.com/,207 Broadway,Nashville,TN,37201,(615) 457-3983,,,,,36.1615078,-86.775299,,
False,Acme Feed & Seed,https://www.acmefeedandseed.com/,101 Broadway,Nashville,TN,37201,(615) 915-0888,,,,,36.16187,-86.77432,,
False,Tin Roof,http://tinroofbroadway.com/,316 Broadway,Nashville,TN,37201,,,,,,36.16150756,-86.77686543,,
False,Nashville Underground,https://www.nashunderground.com/,105 Broadway,Nashville,TN,37201,,,,,,36.16179,-86.77448,,
False,Lucky Bastard Saloon,https://luckybastardsaloon.com/,409 Broadway,Nashville,TN,37203,,,,,,,,,
False,Doc Hollidays Saloon,http://dochollidaysnashville.com/,112 2nd Ave N,Nashville,TN,37201,(615) 953-2245,,,,,,,,
False,Headquarters Beercade Nashville,http://www.hq-nashville.com/,114 2nd Ave N,Nashville,TN,37201,(615) 942-7436,,,,,,,,
False,Sidebar,https://sidebarnash.co/,401 2nd Ave N,Nashville,TN,37201,(844) 431-2633,,,,,,,,
False,BigShotz,http://www.bigshotznashville.com/,115 2nd Ave N,Nashville,TN,37201,(615) 244-9011,,,,,,,,
False,Wildhorse Saloon,https://wildhorsesaloon.com/,120 2nd Ave N,Nashville,TN,37201,(615) 902-8200,,,,,,,,
False,Big Jimmy's,http://www.bigjimmysburgers.com/,109 2nd Ave N,Nashville,TN,37201,(615) 712-6059,,,,,,,,
True,Club XYZ,,1215 N Central St,Knoxville,TN,37917,(865) 637-4999,,,,,,,,
